Part,Color,Quantity,Is Spare
30374,0,3,False
23443,0,2,False
99780,0,3,False
59900,0,1,False
23444,0,1,False
3021,0,1,False
3032,0,4,False
3958,0,1,False
61252,0,2,False
60470b,0,2,False
60478,0,4,False
4600,0,2,False
87609,0,1,False
3705,0,2,False
32034,0,1,False
41239,0,2,False
3700,0,8,False
88323,0,44,False
62462,0,1,False
2780,0,5,False
6628,0,2,False
57520,0,6,False
3069b,0,2,False
2432,0,1,False
61485,0,1,False
87697,0,4,False
55978,0,1,False
3023,1,5,False
3666,1,2,False
3829c01,1,2,False
43093,1,1,False
3001,72,4,False
92338,72,1,False
3837,72,1,False
6158,72,1,False
4865b,72,1,False
3710,72,4,False
3460,72,3,False
3795,72,1,False
3034,72,1,False
3030,72,2,False
3958,72,1,False
88072,72,1,False
32028,72,2,False
11458,72,2,False
3176,72,2,False
6179,72,2,False
61409,72,2,False
15672,72,2,False
3038,72,2,False
98560,72,2,False
11477,72,2,False
11153,72,4,False
3660,72,5,False
87083,72,4,False
59426,72,1,False
59443,72,1,False
3700,72,1,False
3069b,72,2,False
6636,72,4,False
15712,72,2,False
3841,72,1,False
11303,28,1,False
18041,179,1,False
3004,71,2,False
3010,71,2,False
6192b,71,2,False
3062b,71,2,False
2877,71,2,False
22885,71,2,False
98280,71,1,False
3022,71,1,False
3795,71,2,False
3031,71,2,False
11213,71,1,False
60897,71,2,False
32028,71,2,False
10247,71,1,False
3747b,71,1,False
3660,71,1,False
4519,71,1,False
4274,71,1,False
2412b,71,10,False
6014b,71,4,False
56145,71,1,False
3622,27,2,False
44674,27,1,False
3710,27,3,False
3020,27,2,False
15573,27,2,False
3040b,27,2,False
3039,27,1,False
15068pr0009,27,1,False
52031,27,1,False
3069b,27,1,False
2431,27,2,False
970c20pr1057,326,1,False
973c20h12pr3388,326,1,False
973c20h12pr3390,326,1,False
973c20h12pr3389,326,1,False
32062,4,1,False
59443,4,2,False
32474,4,1,False
85544,4,1,False
3032,70,2,False
970c24,379,1,False
970c24,379,1,False
30414,19,1,False
6232,19,4,False
2447,40,1,False
30385,33,1,False
4176,41,1,False
3023,182,3,False
6141,182,10,False
23447,182,2,False
3023,36,2,False
54200,46,2,False
98138,46,4,False
16178pat0001,15,1,False
3833,15,1,False
60581,15,1,False
6187,14,4,False
3009,14,2,False
3626cpr1638,14,1,False
3626cpr0754,14,1,False
3626cpr1580,14,1,False
3838a,14,1,False
4477,14,2,False
3710,14,1,False
3020,14,1,False
11153,14,2,False
72454,14,1,False
32063,14,2,False
6541,14,6,False
32123b,14,2,False
2431,14,2,False
6636,14,2,False
3068b,14,1,False
24527,9999,1,False
